13152	65	1
11877	142	1
11479	290	1
9681	298	1
13096	475	1
10761	561	1
11682	41	2
12503	87	2
6097	116	2
5723	126	2
4949	208	2
10773	274	2
5198	369	2
6806	385	2
11382	462	2
16714	515	2
17603	558	2
5103	103	3
9439	319	3
3468	359	3
18213	408	3
11403	519	3
7485	108	4
14981	146	4
9724	301	4
13913	368	4
14207	122	5
6199	286	5
13816	360	5
767	461	5
15971	536	5
5275	37	6
7184	72	6
16667	159	6
14920	172	6
4161	197	6
11763	218	6
4192	287	6
7935	292	6
12331	333	6
15625	412	6
17477	8	7
8097	228	7
15228	365	7
5089	462	7
13215	7	8
9809	33	8
2830	157	8
13518	322	8
12493	350	8
8429	365	8
4755	414	8
9696	39	9
10712	123	9
6899	179	9
7663	219	9
14046	312	9
14232	382	9
5458	397	9
4509	485	9
16274	529	9
17827	93	10
12456	143	10
12697	379	10
11673	423	10
10053	431	10
16311	508	10
1079	521	10
13524	102	11
13009	116	11
16486	227	11
12092	376	11
16894	457	11
6920	458	11
6270	573	11
7751	28	12
4537	186	12
8489	295	12
5440	416	12
8866	477	12
9171	532	12
4569	549	12
7623	84	13
15531	99	13
15146	144	13
9673	166	13
14315	421	13
4571	539	13
2356	94	14
13085	258	14
17528	410	14
3654	538	14
17760	42	15
7569	83	15
14819	339	15
13946	372	15
8488	438	15
4274	476	15
16921	507	15
8555	527	15
8368	584	15
6553	139	16
3938	405	16
4858	550	16
16646	45	17
1171	49	17
2943	95	17
7296	167	17
13312	328	17
2658	356	17
8551	576	17
1536	35	18
14586	142	18
17519	190	18
7226	198	18
14130	326	18
15209	364	18
11839	437	18
9578	453	18
3787	485	18
10591	537	18
2467	554	18
12362	561	18
15820	582	18
14976	157	19
14242	185	19
17556	428	19
12191	491	19
10972	533	19
14092	563	19
14272	21	20
8335	27	20
14043	192	20
18219	261	20
17005	512	20
1001	20	21
17190	27	21
10510	43	21
12954	102	21
3288	181	21
13482	264	21
1661	299	21
16068	369	21
4936	390	21
2884	457	21
2320	79	22
8397	80	22
13074	208	22
1350	404	22
6694	214	23
5290	262	23
9388	300	23
4914	381	23
13123	465	23
13025	548	23
3862	574	23
3078	42	24
10704	337	24
8968	82	25
10306	208	25
7662	254	25
2462	448	25
8899	464	25
9390	178	26
17180	387	26
13552	20	27
5361	21	27
