gene1	gene2
cbt	CG2678
blow	CG2678
sina	neur
glu	rdo
CycE	rdo
esc	rdo
CycA	rdo
E(z)	rdo
Caf1	rdo
dmt	rdo
thr	rdo
asf1	rdo
CG8149	lin
Traf6	lin
Lcp65Ag1	tra
Axn	tra
puc	tra2
by	tra2
sgg	tra2
Rab7	tra2
RhoGAPp190	cathD
14-3-3zeta	cathD
uzip	cathD
Moe	eg
cnk	sec23
pot	sec23
Su(H)	sec23
tum	sec23
alph	sec23
mbo	sec23
wee	sec23
osa	sec23
alph	Pde8
mbo	Pde8
Btk29A	Pde8
CG8149	Arp66B
Traf6	Arp66B
emp	Arp66B
pbl	cos
cactin	cos
Pde8	cos
cnk	cos
pot	cos
Su(H)	cos
tum	cos
alph	cos
mbo	cos
wee	cos
osa	cos
hpo	cos
tok	Borr
spn-A	Borr
CG16719	Borr
cin	Borr
Dl	Borr
Stat92E	Borr
CycA	Borr
Eip63F-1	Borr
E(z)	Borr
Caf1	Borr
dmt	Borr
thr	Borr
asf1	Borr
MED4	140up
dsf	140up
Moe	140up
robo	cas
run	cas
Akt1	Abi
CG8247	betaTub56D
ird5	betaTub56D
Stat92E	betaTub56D
chinmo	betaTub56D
Pgant35A	betaTub56D
Abl	nej
th	nej
ena	nej
sqd	dome
Tm1	dome
Yp1	Yp1
Lcp65Ag1	Yp1
cbx	yrt
morgue	tup
gro	G-ialpha65A
Krn	G-ialpha65A
Eip63E	G-ialpha65A
stil	phyl
Tm1	phyl
CG17739	CG17739
mus304	CG17739
Sobp	B4
l(2)gd1	B4
dmt	CG16719
thr	CG16719
asf1	CG16719
sdt	Rack1
mth	Rack1
wrapper	Rack1
E(z)	bon
Caf1	bon
thr	bon
cactin	bon
sec23	pot
cos	pot
Su(H)	pot
tum	pot
alph	pot
mbo	pot
osa	pot
Nf1	chic
how	S6kII
msi	S6kII
l(2)efl	neur
Pcaf	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
osa	Pde8
Axn	Pde8
kuk	neur
tkv	pros
bt	yrt
Ptpmeg	Su(z)12
Syx1A	kay
ken	spir
rdo	spir
tok	spn-A
Su(z)12	spn-A
fred	Su(z)12
tow	Mmp2
Atg6	Mmp2
sec13	bowl
lilli	bowl
140up	ben
stumps	ben
vap	Su(z)12
zfh2	Rab7
tin	CG6416
Idgf2	CG6416
emp	CG6416
cas	Mmp2
CG32486	Mmp2
siz	Mmp2
Rab5	Su(z)12
Ddx1	Su(z)12
Tab2	Su(z)12
Mlc1	Su(z)12
Mhc	Su(z)12
Msp-300	Su(z)12
Mmp2	emp
mmy	emp
yellow-f	Sema-2a
Optix	Eip74EF
sno	eg
dei	eg
CG14995	spir
tup	tsh
wg	tsh
twf	nej
wls	Su(z)12
wupA	Mmp2
by	Mmp2
disco	Mmp2
CG9769	Mmp2
stil	Mmp2
Antp	Mmp2
CG17739	W
tra	e
vlc	eg
jumu	eg
LanA	CG2678
Su(z)12	CG2678
zfh2	Arc42
flw	Arc42
fred	toy
cnc	toy
zfh2	tsh
p53	tsh
MED24	W
p53	Arc42
