gene1	gene2
cbt	CG2678
rdx	CG2678
blow	CG2678
sina	neur
glu	rdo
CycE	rdo
esc	rdo
alien	rdo
CycA	rdo
E(z)	rdo
Caf1	rdo
dmt	rdo
thr	rdo
asf1	rdo
CG8149	lin
Traf6	lin
Lcp65Ag1	tra
Axn	tra
puc	tra2
by	tra2
sgg	tra2
Rab7	tra2
RhoGAPp190	cathD
14-3-3zeta	cathD
uzip	cathD
Moe	eg
cnk	sec23
pot	sec23
Su(H)	sec23
tum	sec23
alph	sec23
mbo	sec23
wee	sec23
osa	sec23
alph	Pde8
mbo	Pde8
Btk29A	Pde8
CG8149	Arp66B
Traf6	Arp66B
emp	Arp66B
pbl	cos
cactin	cos
Pde8	cos
pot	cos
Su(H)	cos
tum	cos
alph	cos
mbo	cos
wee	cos
osa	cos
hpo	cos
tok	Borr
spn-A	Borr
Dl	Borr
Stat92E	Borr
CycA	Borr
Eip63F-1	Borr
E(z)	Borr
Caf1	Borr
dmt	Borr
thr	Borr
asf1	Borr
MED4	140up
dsf	140up
Moe	140up
robo	cas
run	cas
Akt1	Abi
CG8247	betaTub56D
ena	betaTub56D
sqd	dome
Tm1	dome
Yp1	Yp1
Lcp65Ag1	Yp1
cbx	yrt
morgue	tup
gro	G-ialpha65A
Krn	G-ialpha65A
gl	G-ialpha65A
Eip63E	G-ialpha65A
Axn	G-ialpha65A
stil	phyl
Tm1	phyl
CG17739	CG17739
mus304	CG17739
scrib	B4
Sobp	B4
l(2)gd1	B4
tub	B4
Pk61C	CG2681
CtBP	sina
kuk	sina
dmt	CG16719
thr	CG16719
asf1	CG16719
sdt	Rack1
mth	Rack1
wrapper	Rack1
pio	Tina-1
Dredd	Tina-1
hpo	Tina-1
Borr	bon
Ef1gamma	bon
Mer	bon
alien	bon
CycA	bon
cactin	bon
sec23	pot
cos	pot
Su(H)	pot
tum	pot
alph	pot
mbo	pot
osa	pot
Nf1	chic
how	S6kII
msi	S6kII
